,comp2,comp3,comp4
AJ301839.1.1556,0.01016147400601825,-0.009150791065388901,0.006655610437537086
AB606326.1.1542,-0.004299096980942594,0.01654752888684882,-0.03966625102143662
KJ833601.1.1542,0.004845660461295102,0.0049543032796578075,0.0023809913806722757
AY941840.1.1568,0.014709310348387246,-0.006103064426640337,0.01240948895183794
CP007394.148.1706,0.008295884655893543,0.001566960401779041,0.0028262565925030445
JFOF01000052.9721.11268,-0.0015304124662331834,0.0007776030676361946,-0.001979164138483728
CP015906.2140419.2141977,-0.005846294585481827,0.02115197465238743,-0.11040754818371634
FJ951901.1.1538,-0.021245341255299643,-0.009698001988683397,-0.0020624068257037095
FJ879275.1.1537,0.005228653827171133,0.023619073153699464,0.008810738365197674
HM124144.1.1537,0.012464765221115495,-0.00923699661877701,-0.004025634662499784
AFST01000003.1612.3154,-0.00717317970729868,-0.004153564447073881,0.004028489288797577
DQ288680.1.1547,0.0007936004778013794,0.0010940364629254242,0.001732560986005626
DQ905283.1.1535,-0.01740410019619964,0.0050159971839463325,0.006797543135032694
EF031001.1.1547,-0.0014457090373591573,0.007713069339853763,0.0008719881451621018
EF406864.1.1535,0.01228280536183558,-0.03013399820949715,-0.009598469904359603
EU845654.1.1551,-0.006878299946213072,0.014612835729700634,0.003420635941162149
DQ394661.1.1545,0.0006620068977491665,0.006308469275943429,0.0008437459007889466
EF686530.1.1533,0.00965115360316268,-0.0016759611837980734,-0.001052910824897787
EU791081.1.1533,0.0019443130872068145,0.007191730189777344,0.0020692741511859464
GQ451195.1.1535,0.0022422986014438585,0.007666068014833659,0.011604930754537194
AB606277.1.1532,-0.0011118065118191382,-0.0075109560786570774,0.0005679670850265014
HK555817.1.1532,-0.008958332729587693,0.005855223590926677,0.002994809055555043
JN713381.1.1544,-0.00022106571475279726,-0.012689344664179727,0.005976118851215368
JQ084715.1.1532,0.0036941369875858146,-0.004310193031179917,0.007775409500693767
AB627471.1.1543,-0.020483330223222768,-0.0809056447839826,-0.031662411797692906
CDYJ01035375.5063.6592,4.1637727201192785e-05,-2.445738345507052e-05,-0.0002654259632123732
FJ880194.1.1530,-0.005587089315098241,-0.0022912579685141414,0.0015779174408648415
LN612693.1.1530,0.014608652383914298,0.003679846434082858,0.00516154174974897
AY959035.1.1536,0.004145233896966536,0.009062548941101062,0.005670815775865985
AYGZ01000001.327.1863,0.009679417230179177,0.004972292550815049,-0.05162829744064995
HM124277.1.1529,-0.00030923963795157134,0.001216124851435066,0.0023299751493613538
CP001918.5152784.5154334,0.015511488930036083,-0.018310193536278736,0.0076793664543976445
CP007391.4812088.4813634,0.006007212170516302,-0.0010707858684906525,0.001434002314171702
EU844697.1.1539,-0.012981037421749967,-0.0038271471654351937,-0.0022953424888875864
FJ879725.1.1573,-0.0011214325769731454,-0.012964377951942765,0.001792360466758973
HM124131.1.1528,0.00034412590469926817,0.003063438557180311,0.00027539938982305297
JX218307.1.1528,-0.007664285991130164,-0.0017905024831593385,0.001563529995933586
AB627729.1.1539,0.06386290224249841,-0.07561998345892176,-0.02515829157663577
AIGU01000070.44831.46365,0.0031510302090695724,-0.019513161945158463,0.008882855342974902
CZAB01000004.3636.5162,-0.02353045980355931,0.03467386934513238,-0.008370554056901416
JGZF01000005.1.1534,0.006136884597757225,-0.016025035414381446,0.0027038990256540597
EF603968.1.1525,-0.027623853049962382,-0.0015411644607967792,-0.02898060239975846
KC561128.1.1525,-0.00615337408009962,-0.012121436947002547,0.0039183357569855465
ASTF01000015.433637.435168,0.0029813706307626497,-0.04274290827129347,-0.007748428992604619
AY464464.1.1546,-0.001429831829493597,-0.004513063724495575,0.0010105265282523053
GU303678.1.1524,-0.002342586857490693,0.005486767669729968,0.0005826059869637458
JX852667.1.1567,0.005391353940596486,0.0009580258531768122,0.007979474736194554
KX570900.1.1529,-0.000854864767839116,0.004390149677477984,0.005358360593489864
AF262239.1.1537,0.0040682316919996315,0.003570245333270023,0.0017908064953495674
AIGU01000067.2664.4193,0.0025490620973305533,-0.0034043926890696082,0.0024557036079363593
AWFQ01000007.543.2090,-0.021395829227481324,0.06397405312222758,-0.007054693192750204
AYMP01000037.63.1585,0.01945362766821755,0.02317431555144942,0.013410591058700783
EU791122.1.1523,0.009355319958528337,0.003940672393184558,0.003314484810864142
FPLN01005933.9.1531,-0.002925558081194758,0.0008477222661887567,0.0013530601340281969
FPLN01010442.9.1531,-0.005626187562065204,-0.0029462734465512267,0.002443033600021519
GAIQ01048712.3375.4897,0.009693518185078517,-0.0012326522128025131,0.0029206849766322345
JN092599.1.1535,-0.0067315108629583025,-0.006141736247044154,0.00036178288248356664
KC283052.1.1536,0.009213037079256975,0.003656210025056131,0.003993945888735409
AB118033.1.1533,0.007263347933746474,-0.0020548133276195733,0.004060255937877979
AEZJ02000039.521.2062,0.004097333444921375,0.002738005414721478,0.0017679115414172203
AFUV01000004.339540.341080,0.0017117908099232575,0.0008135063407056455,0.001657294662943186
CP015403.1369456.1371009,-0.03642128177218276,0.06929397653061795,-0.1315089840729706
CP017665.1276159.1277680,0.00937551702836476,-0.014951395100515987,0.0043363942699693285
DQ777942.1.1523,-0.0013956247624204482,-0.00267869149211332,-0.0011352373792849206
FPLN01007699.15.1536,0.006177338918491969,0.0026192105522194896,0.0025967940565844194
FPLN01009130.13.1534,-0.001862158050161719,-0.0047961093115415215,0.0042137613044476085
FPLN01010122.33.1554,-0.0005226444226158285,-0.004876648142257662,0.0021151860080124265
FPLP01005732.13.1534,0.001823476576901659,-0.00010937116653418863,0.00044707715932025956
HQ883938.1.1522,0.004181467347565155,0.002935071516835162,0.0029559995112103106
KF256028.1.1522,-0.0023386657418097813,-0.0031621110781532946,0.0010345914020239732
AB627641.1.1533,-0.0074338965650164,0.010242351247744001,0.002016484364562703
EF406604.1.1522,0.0043928097303299095,0.008493119484010648,-0.0645690759440802
FPLN01010390.8.1528,-0.001910140436106304,0.006739980671687843,0.0056802246493476115
FPLP01005029.13.1533,0.005353219012326241,0.0002926176302898153,0.0019468414470377353
U90314.1.1541,0.0035535638992962105,-0.01024414794955656,0.0038681205308301794
AB661449.1.1532,0.002216132903809686,-0.0011898459831570592,0.0023174824896315966
ACTI01000029.29.1556,-0.011567895691400449,0.04645933915463088,-0.012538037896095502
ASSW01000015.461351.462878,0.006023534100772352,-0.01680348966739261,-0.001453259085201358
DQ360844.1.1532,0.009052878184510902,2.2426699856056285e-05,0.0028531612239189375
FPLN01003342.15.1534,0.007846045158828788,0.004788880991596357,0.007784582756115554
FPLN01004615.17.1536,-0.005947099460417019,0.0013749137262889688,0.00047280911450322963
HQ716224.1.1521,0.0013491234387209637,-0.0038601404684634843,0.0036145215807868534
JQ711737.1.1532,0.00800946834532127,0.0036126069063668947,0.0028130408821784307
KR068404.1.1520,-0.0019220986803618672,0.0040229748518353994,0.0019671438493987087
AB606354.1.1519,0.07259458299647806,-0.049807957259540694,-0.012459729399633914
AB702924.1.1524,0.0010354482650203735,-0.008164225643562905,-0.0017080233307245989
AKCD01000001.321917.323435,-0.09980259620213441,0.05902142646599514,-0.11952648557434596
DQ905926.1.1529,-0.0143756617421846,0.015634840965923665,0.004905110397486181
EU843173.1.1540,0.062167889994758294,-0.007921134310769597,-0.008152986040496028
KF621060.1.1519,0.0015451926560411358,0.000491338861689257,0.0004270847229067067
AB627689.1.1530,0.1137076195938508,0.0788595492117977,-0.03269391890365612
CALK01000057.3384.4901,-0.030913346646536798,0.015696921828750023,-0.03477953188628269
CBWN010000030.3384.4921,-0.014499924764510109,0.0018188053601073358,0.004576027848477476
JX145037.1.1531,0.0067962738841484726,0.004569376801440591,0.0026336223174146904
AB969619.1.1529,0.005897800734547801,0.009785778765144432,-0.02248675911942717
AF262236.1.1531,-0.00222364083946684,0.04455186924581548,-0.005136057536625914
FJ172874.1.1517,-0.0020720154802523613,0.002733533323926014,0.0020109733264676976
FJ881220.1.1517,-0.006741107768022257,0.00422421222014044,0.0011495505687826812
HQ883943.1.1517,-0.005300671882825306,0.007667126301415792,0.0015721138268124655
AB627492.1.1527,0.0008146030876942427,-0.04073024346425391,-0.07421608216326618
BBXJ01000001.2660388.2661903,-0.000775312943713454,0.0035701019286557417,0.003300644471908383
EF406671.1.1517,-0.016642993593444667,0.0346679740506557,-0.005783643698991651
FPLN01001151.8.1523,0.00815373987037201,0.0015233168743387017,0.0053983836484693135
FPLO01000691.7.1522,-0.06274666012995754,0.04400044648850092,-0.06632986913115202
BAHW02000064.49.1563,-0.010184108272212684,0.056236037576412885,-0.01366280880621676
FMGA01000006.679.2193,0.005968408993605292,-0.012856061885081307,0.004974390120048111
JX198656.1.1515,0.02202028713604758,-0.05995128287466603,-0.02105169070415964
LN907736.1.1566,0.0045950513644405855,-0.012841279662667363,0.0021461919862069004
MLAJ01000016.155.1693,0.030063144245878345,0.03151093734401332,-0.027106663991582573
AB627687.1.1526,-0.052991486256531724,-0.05764689498940479,-0.10441099002374157
AB746536.1.1526,-0.00869144253483145,-0.002708344045208919,0.0016618366152910278
AB969479.1.1526,-0.0040655867850141825,0.01271034955861578,0.0027916836534825806
AY958891.1.1518,0.011256292445785025,-0.001363101468986786,0.005962421619126766
CP015400.1820588.1822127,0.06324214583703948,0.013794723360723626,-0.012485737795644337
EF031004.1.1524,-0.011983123373412086,0.002369369877795159,0.0011665295353417806
EU622706.1.1514,-0.00119719025384381,-0.004909641411173872,0.0010215424219921147
FPLO01004147.8.1521,-0.0038343829142715585,-0.0034358440113625398,0.0006149353181163848
MKZZ01000031.48.1589,0.00469670635523526,0.0022148511271009945,0.0012013769175008371
MLHG01000091.232.1769,0.004702613779108161,-0.0018619510477418434,0.00386920874134477
MLHI01000090.51.1588,0.005818601090781335,-0.007007679421899501,0.002957328143234107
AB034064.1.1528,-0.00123912128842379,0.00027481391679756533,-0.00010754606269015572
AB506181.1.1525,0.001823476576901659,-0.00010937116653418863,0.00044707715932025956
AB506423.1.1525,0.0005979778324845189,-5.096985007133236e-05,-4.296248831892868e-05
AB627487.1.1525,-0.003595576211529782,0.0006006388981902022,3.2638055041327895e-05
AB627500.1.1525,-0.006236133393668358,0.006034810681696805,0.00183978536807763
AB627509.1.1525,0.01624837467125152,-0.005994025316131796,0.008395726927475346
AB627520.1.1525,-0.03136473388087848,0.0001848825484075096,-0.008958085924201133
AB627586.1.1525,-0.020034798216797475,-0.004157576223740777,-0.000987172191073192
AB627599.1.1525,-0.011742781030622132,-0.000636252685337136,-0.009306732884982136
AB627601.1.1525,0.005176807140280702,0.012501165397933391,-0.022719930554047203
AB627609.1.1525,0.0009663171291483523,0.005332845022228481,-0.000873460371564336
AB969366.1.1525,0.031220487378057996,0.038461861689035565,-0.020671521793226844
AB969483.1.1525,0.016368591270806414,-0.018339555214864845,-0.00017307137525807509
AB969643.1.1525,-0.013017935531649406,0.00575006132829083,0.005916611890469641
ABVQ01000037.56921.58441,-0.011437832440646632,-0.01925222706201352,0.0019410772419900227
AY854353.1.1525,-0.007165141830106445,-0.008890624944635682,0.0027446126690402555
CP015405.196247.197788,0.0012882817181617762,-0.012422421494134386,0.0027500554782848748
CVTZ01000011.472188.473700,-0.0015125242707700996,-0.0005576144417862167,-0.0009812453662226054
CYYV01000001.321800.323312,-0.03349850855907258,0.08393803202001116,-0.015637052507751697
DQ777889.1.1539,0.007016161578801997,0.005201987636154966,0.0026971813763806097
EF603374.1.1513,0.002541904929453254,0.00300405044513293,0.0010942127485586868
FMFJ01000009.575.2087,0.0012351062143649207,-0.007688148361321448,0.0009258114799089414
